InstrumentFamily,BaseName,InstrumentCommonName,FrenchName,ItalianName,GermanName,ClefUsuallyUsed,WrittenRangeMin,WrittenRangeMax,SoundRangeMin,SoundRangeMax,SoundMIDIRangeMinOrch,SoundMIDIRangeMaxOrch,SoundMIDIRangeMinVirtuoso,SoundMIDIRangeMaxVirtuoso,PlayingThisNoteWillProducesConcertSoundingC,IsTransposing,Transposition,Notes
Woodwinds,Piccolo,Piccolo,Petite Flûte,"Flauto Piccolo or Ottavino, ",Kleine Flöte,Treble   ,D4,C7,D5,C8,74,108,,,C,Yes,Transpose P8 above written pitch. Do not adjust the key signature,
Woodwinds,Piccolo,Db Piccolo,Petite Flûte,"Flauto Piccolo or Ottavino, ",Kleine Flöte,Treble   ,D4,C7,D5,C8,74,108,,,Db,Yes,Transpose m9 above written pitch. Adjust the key signature a m2 downwards,
Woodwinds,Flute,Flute,Flûte, Flauto,Flöte,Treble,C4,D7,C4,D7,60,98,,,,no,Transpose as written,"Professional model flutes may employ aB-footjointwhich allows them to play 1/2 step lower.
There are a few isolated instances of a low Bb in the flute literature but these are rare."
Woodwinds,Flute,G Alto Flute ,Flûte Contralto en Sol,"Flautone, ",Altoflöte,Treble,C4,C7,G3,G6,55,91,,,G,Yes,Transpose P4 below written pitch,The Alto Flute is sometimes incorrectly referred to as a Bass Flute. There are also a number of other designs for low-pitched flutes which are not generally used in an orchestra except for special situations.
Woodwinds,Flute,Bass Flute ,Flûte Basse,"Flauto Basso,",Bassflöte,Treble,C4,C7,C3,C6,48,84,,,,Yes,Transpose P8 below written pitch,The Alto Flute is sometimes incorrectly referred to as a Bass Flute. There are also a number of other designs for low-pitched flutes which are not generally used in an orchestra except for special situations.
Woodwinds,Oboe,Oboe,Hautbois,"Oboe, ",Hoboe,Treble,Bb3 ,A6,Bb3 ,A6,46,93,,,,No,Transpose as written,Oboe reeds are individually hand-made by the oboist.
Woodwinds,Oboe d'amore,Oboe d'Amore,Hautbois d'Amour,Oboe d'Amore,Liebesoboe,Treble,B3,E6,G#3,C#6,44,85,,,,Yes,Transpose m3 below written pitch,
Woodwinds,English Horn,English Horn,Cor Anglais,Corno Inglese ,Englisch Horn,,B3,G6,E3,C6,52,84,,,,Yes,Transpose P5 below written pitch,"written in alto clef at concert pitch in certain Russian scores. It is similar in pitch and tone to the earlier instrument, Oboe da caccia.Here is a comparison of  three instruments in this family."
Woodwinds,Heckelphone/Bass Oboe,Heckelphone/Bass Oboe,Heckelphone,Heckelphon ,Heckelphon,Treble,Bb3 ,G6,Bb2,G5,46,79,,,,Yes,Transpose P8 below written pitch,
Woodwinds,"Clarinet
",Eb Soprano Clarinet,Clarinette,Clarinetto,Klarinette,Treble,Bb3 ,C7,Db4,Eb7,61,99,,,Eb,Yes,Transpose m3 above written pitch,
Woodwinds,"Clarinet
",Eb Alto Clarinet,Clarinette,Clarinetto,Klarinette,Treble,Bb2 ,Db6,Gb2,Bb5,42,82,,,Eb,Yes,Transpose m3 above written pitch,
Woodwinds,"Clarinet
",D Clarinet,Clarinette,Clarinetto,Klarinette,Treble,A2,C6,F2,A5,41,81,,,D  ,Yes,Transpose M2 above written pitch,Rare sence early to mid eighteenth centyur
Woodwinds,"Clarinet
",Bb Clarinet,Clarinette,Clarinetto,Klarinette,Treble,D3 ,Bb6,C3,Ab6,48,92,,,Bb,Yes,Transpose M2 below written pitch,Most common
